	SPOKE	EHR
659	DB00956	244175
660	DB00956	244176
661	DB00956	244177
662	DB00956	244178
663	DB00956	244179
664	DB00956	243254
665	DB00956	243258
666	DB00956	243259
667	DB00956	112747
668	DB00956	233051
669	DB00956	39474
670	DB00956	16178
671	DB00956	13040
672	DB00956	39785
673	DB00956	19895
674	DB00956	21506
675	DB00956	36308
676	DB00956	36303
677	DB00956	255385
678	DB00956	216502
679	DB00956	216500
680	DB00956	216501
681	DB00956	2725
682	DB00956	6759
683	DB00956	33542
684	DB00956	109689
685	DB00956	88500
686	DB00956	108331
687	DB00956	42357
688	DB00956	42355
689	DB00956	70326
690	DB00956	2577
691	DB00956	14163
692	DB00956	14162
693	DB00956	14161
694	DB00956	40003
695	DB00956	40007
696	DB00956	18711
697	DB00956	88103
698	DB00956	29026
699	DB00956	239077
700	DB00956	12543
701	DB00956	216481
702	DB00956	216480
703	DB00956	12108
704	DB00956	220188
705	DB00956	36561
706	DB00956	43007
707	DB00956	43008
708	DB00956	78236
709	DB00956	78238
710	DB00956	27115
711	DB00956	231551
712	DB00956	234000
713	DB00956	43572
714	DB00956	43575
715	DB00956	5355
716	DB00956	5358
717	DB00956	82029
718	DB00956	31771
719	DB00956	27093
720	DB00956	42527
721	DB00956	254413
722	DB00956	1797
723	DB00956	28535
724	DB00956	24058
725	DB00956	228043
726	DB00956	203974
727	DB00956	237046
728	DB00956	252795
729	DB00956	210778
730	DB00956	210772
731	DB00956	210777
732	DB00956	210774
733	DB00956	39566
734	DB00956	39567
735	DB00956	39564
736	DB00956	39565
737	DB00956	31773
738	DB00956	95850
739	DB00956	4775
740	DB00956	17611
741	DB00956	157029
742	DB00956	157023
743	DB00956	157021
744	DB00956	157027
745	DB00956	157025
746	DB00956	39833
747	DB00956	70572
748	DB00956	238145
749	DB00956	229061
750	DB00956	26672
751	DB00956	234261
752	DB00956	228601
753	DB00956	14745
754	DB00956	31311
755	DB00956	21493
756	DB00956	81864
757	DB00956	214687
758	DB00956	214686
759	DB00956	13709
760	DB00956	244016
761	DB00956	244015
762	DB00956	244014
763	DB00956	244013
764	DB00956	260198
765	DB00956	260199
766	DB00956	260196
767	DB00956	260197
768	DB00956	236719
769	DB00956	232469
770	DB00956	10989
771	DB00956	10988
772	DB00956	17291
773	DB00956	254871
774	DB00956	26738
775	DB00956	229298
776	DB00956	11171
777	DB00956	35877
778	DB00956	212226
779	DB00956	154611
780	DB00956	154613
781	DB00956	154615
782	DB00956	154617
783	DB00956	154619
784	DB00956	212225
785	DB00956	254259
786	DB00956	43583
787	DB00956	34670
788	DB00956	34675
789	DB00956	162409
790	DB00956	14963
791	DB00956	14962
792	DB00956	14966
793	DB00956	14965
794	DB00956	14964
795	DB00956	9582
796	DB00956	9581
797	DB00956	37846
798	DB00956	37848
799	DB00956	232189
800	DB00956	42702
801	DB00956	42703
802	DB00956	106819
803	DB00956	242045
804	DB00956	242042
805	DB00956	87946
806	DB00956	70460
