CUI	Node_ID	Node_Type
C0004626	C0004626	SideEffect
C2750469	340900	Gene
C2750468	55096	Gene
C0018794	C0018794	SideEffect
C0018790	C0018790	SideEffect
C0014236	C0014236	SideEffect
C0657912	DB00230	Compound
C0018798	C0018798	SideEffect
C0018799	C0018799	SideEffect
C1510472	C1510472	SideEffect
C1510471	C1510471	SideEffect
C1510475	C1510475	SideEffect
C1420297	6641	Gene
C1420296	6640	Gene
C1420295	6638	Gene
C1420294	6637	Gene
C1420293	6636	Gene
C1420292	6635	Gene
C1420291	6634	Gene
C1420290	6633	Gene
C0002103	C0002103	SideEffect
C1420298	6645	Gene
C1423928	94101	Gene
C1423929	29095	Gene
C1423926	54841	Gene
C1423927	161497	Gene
C1423920	89846	Gene
C1423922	89872	Gene
C1423923	55072	Gene
C0852952	C0852952	SideEffect
C0003855	C0003855	SideEffect
C0003850	C0003850	SideEffect
C1425519	143689	Gene
C1425518	440822	Gene
C1420748	7084	Gene
C1420745	9414	Gene
C1425512	117153	Gene
C1425511	89886	Gene
C1420746	27134	Gene
C1420741	26521	Gene
C1425516	132014	Gene
C1420743	7079	Gene
C1425514	84868	Gene
C1428590	157983	Gene
C1428591	348932	Gene
C1428592	147660	Gene
C1428594	131474	Gene
C1428597	147741	Gene
C1428598	130557	Gene
C1428599	143884	Gene
C2239428	84908	Gene
C0268379	C0268379	SideEffect
C0013274	C0013274	SideEffect
C1417075	79648	Gene
C0271738	C0271738	SideEffect
C1417072	8888	Gene
C2239425	54463	Gene
C0085605	C0085605	SideEffect
C0085606	C0085606	SideEffect
C0085607	C0085607	SideEffect
C0085602	C0085602	SideEffect
C0085602	D059606	Symptom
C1422180	79187	Gene
C1824185	134553	Gene
C0041009	DB00376	Compound
C1824183	55322	Gene
C1824182	83989	Gene
C1423210	138882	Gene
C1824180	728	Gene
C0341512	C0341512	SideEffect
C2681189	400793	Gene
C0288792	DB00799	Compound
C2681183	727857	Gene
C2681182	57673	Gene
C2681181	84752	Gene
C2681185	388419	Gene
C2681184	91272	Gene
C0037195	C0037195	SideEffect
C1843919	23590	Gene
C1843916	D054221	Symptom
C1843915	11344	Gene
C0037199	C0037199	SideEffect
C0521845	C0521845	SideEffect
C0000772	C0000772	SideEffect
C2681231	389336	Gene
C2681230	51149	Gene
C1825858	2583	Gene
C2681232	133491	Gene
C0234215	C0234215	SideEffect
C2681234	134121	Gene
C2681237	100190949	Gene
C2681236	285636	Gene
C1825852	54947	Gene
C1825853	79888	Gene
C1825856	10678	Gene
C1825854	8706	Gene
C1825855	145173	Gene
C1824729	1675	Gene
C1824728	629	Gene
C1824723	55125	Gene
C1824721	9859	Gene
C1824720	22897	Gene
C1824727	221223	Gene
C1824726	9857	Gene
C1824725	80184	Gene
C1824724	11190	Gene
C1426192	219790	Gene
C1426193	79646	Gene
C0036572	C0036572	SideEffect
C1426191	59349	Gene
C1426196	54768	Gene
C1426197	51535	Gene
C1426194	55229	Gene
C1426195	10144	Gene
C0036579	DB01037	Compound
C0677658	C0677658	SideEffect
C0340643	C0340643	SideEffect
C1418057	4994	Gene
C0877098	C0877098	SideEffect
C0877094	C0877094	SideEffect
C0877095	C0877095	SideEffect
C0877096	C0877096	SideEffect
C0877097	C0877097	SideEffect
C0877090	C0877090	SideEffect
C0877092	C0877092	SideEffect
C2676276	220074	Gene
C3469890	79603	Gene
C3469891	91012	Gene
C3469892	253782	Gene
C1428838	57711	Gene
C1427829	83998	Gene
C1428833	57688	Gene
C1427824	386676	Gene
C1427826	55206	Gene
C1427821	386682	Gene
C1428836	57705	Gene
C1428835	57700	Gene
C1427822	386680	Gene
C2747853	C2747853	SideEffect
C1424217	25861	Gene
C0235108	C0235108	SideEffect
C0011777	DB01234	Compound
C0038218	C0038218	SideEffect
C1826761	10244	Gene
C1826763	23132	Gene
C1826765	202151	Gene
C1826764	55974	Gene
C1826767	8045	Gene
C1826766	5909	Gene
C1826769	125950	Gene
C1826768	11228	Gene
C0877639	C0877639	SideEffect
C0877634	C0877634	SideEffect
C0877635	C0877635	SideEffect
C1415006	2636	Gene
C1415007	2637	Gene
C1415004	2634	Gene
C1415005	2635	Gene
C1415002	8729	Gene
C1415003	2633	Gene
C1415000	2631	Gene
C1415001	2632	Gene
C1413558	1271	Gene
C1415008	23464	Gene
C1415009	2639	Gene
C0393947	C0393947	SideEffect
C1538772	79874	Gene
C1413553	1267	Gene
C0429468	C0429468	SideEffect
